3.33,-6927.25,0
481665,250.00,-0.00,0
481667,500.00,-0.00,0
481670,333.33,-10573.71,0
481672,500.00,0.00,0
481675,333.33,0.00,0
481677,500.00,938.63,0
481680,500.00,-10570.40,0
481682,333.33,-0.00,0
481685,333.33,-0.00,0
481687,500.00,-0.00,0
481689,500.00,12278.72,0
481692,333.33,0.00,0
481694,500.00,0.00,0
481697,333.33,6830.37,0
481699,500.00,6132.75,0
481702,333.33,-0.00,0
481704,500.00,-0.00,0
481708,250.00,-0.00,0
481710,500.00,10573.73,0
481713,333.33,0.00,0
481715,500.00,0.00,0
481717,500.00,6830.37,0
481720,333.33,6139.36,0
481722,500.00,-0.00,0
481725,333.33,-0.00,0
481727,500.00,-106.56,0
481730,333.33,10573.73,0
481732,500.00,0.00,0
481735,333.33,0.00,0
481737,500.00,508.86,0
481739,500.00,-5231.92,0
481742,333.33,-0.00,0
481744,500.00,-0.00,0
481747,333.33,-6926.62,0
481750,333.33,-6586.26,0
481753,333.33,0.00,0
481755,500.00,0.00,0
481758,333.33,65.27,0
481760,500.00,6132.75,0
481763,333.33,-0.00,0
481765,500.00,-0.00,0
481767,500.00,-426.33,0
481770,333.33,7057.12,0
481773,333.33,0.00,0
481775,500.00,0.00,0
481777,500.00,58.65,0
481780,333.33,5286.87,0
481782,500.00,-0.00,0
481785,333.33,-0.00,0
481787,500.00,-5221.62,0
481790,333.33,7129.40,0
481793,333.33,0.00,0
481795,500.00,0.00,0
481798,333.33,7057.12,0
481800,500.00,-10570.40,0
481803,333.33,-0.00,0
481805,500.00,-0.00,0
481808,333.33,-6132.70,0
481810,500.00,7057.15,0
481813,333.33,0.00,0
481815,500.00,0.00,0
481818,333.33,3066.37,0
481820,500.00,12278.72,0
481823,333.33,-0.00,0
481825,500.00,-0.00,0
481828,333.33,-10573.71,0
481830,500.00,-9969.03,0
481833,333.33,0.00,0
481836,333.33,0.00,0
481839,333.33,-6132.70,0
481841,500.00,13426.95,0
481844,333.33,-0.00,0
481846,500.00,-0.00,0
481849,333.33,-5286.85,0
481851,500.00,948.33,0
481854,333.33,0.00,0
481856,500.00,0.02,0
481858,500.00,5286.87,0
481861,333.33,-3516.59,0
481864,333.33,-0.00,0
481866,500.00,-0.00,0
481868,500.00,5286.87,0
481871,333.33,7053.58,0
481874,500.00,0.00,0
481876,333.33,226.90,0
481879,333.33,-2643.43,0
481882,333.33,-0.00,0
481884,500.00,-0.00,0
481887,333.33,-0.00,0
481889,500.00,12265.09,0
481892,333.33,7046.49,0
481894,500.00,0.00,0
481897,333.33,7074.47,0
481899,500.00,-12264.98,0
481902,333.33,-0.00,0
481904,500.00,-0.00,0
481907,333.33,-0.00,0
481909,500.00,-10573.71,0
481912,333.33,0.00,0
481914,500.00,0.00,0
481916,500.00,-6559.01,0
481920,250.00,-5286.85,0
481923,333.33,-0.00,0
481925,500.00,-0.00,0
481928,500.00,-106.56,0
481930,333.33,-5286.85,0
481933,333.33,0.00,0
481935,500.00,0.00,0
481937,500.00,7287.60,0
481940,333.33,6139.36,0
481942,500.00,-0.00,0
481945,333.33,-0.00,0
481947,500.00,-6926.63,0
481950,333.33,65.27,0
481952,500.00,0.00,0
481955,333.33,0.00,0
481957,500.00,7043.49,0
481959,500.00,-10573.71,0
481963,250.00,-0.00,0
481966,333.33,-0.00,0
481968,500.00,-6079.42,0
481971,333.33,7074.47,0
481973,500.00,0.00,0
481975,500.00,0.00,0
481978,333.33,2643.43,0
481980,500.00,10573.73,0
481983,333.33,-0.00,0
481985,500.00,-0.00,0
481988,333.33,6139.36,0
481990,500.00,-6586.26,0
481993,333.33,0.00,0
481995,500.00,0.00,0
481998,333.33,-12264.98,0
482000,500.00,-5285.08,0
482003,333.33,-0.00,0
482006,333.33,-0.00,0
482009,333.33,6132.75,0
482011,500.00,-6559.01,0
482014,333.33,0.00,0
482016,500.00,0.00,0
482018,500.00,-2616.17,0
482021,333.33,9910.37,0
482024,333.33,-0.00,0
482026,500.00,-0.00,0
482028,500.00,-5286.85,0
482031,333.33,63.49,0
482034,500.00,0.00,0
482036,333.33,0.00,0
482038,500.00,10573.73,0
482041,333.33,-5221.60,0
482043,500.00,-0.00,0
482046,333.33,-0.00,0
482049,333.33,-10570.40,0
482052,333.33,6.66,0
482054,500.00,0.00,0
482057,333.33,3.65,0
482059,500.00,5286.87,0
482061,500.00,-7246.30,0
482064,333.33,-0.00,0
482066,500.00,-0.00,0
482069,333.33,10573.73,0
482071,500.00,905.79,0
482074,333.33,0.00,0
482076,500.00,935.11,0
482079,333.33,-5231.92,0
482081,500.00,-0.00,0
482084,333.33,-0.00,0
482086,500.00,-0.00,0
482089,333.33,6139.36,0
482092,333.33,-13640.08,0
482095,333.33,0.00,0
482097,500.00,7294.20,0
482100,333.33,6132.75,0
482102,500.00,-0.00,0
482105,333.33,-0.00,0
482107,500.00,-0.00,0
482109,500.00,-2643.43,0
482112,333.33,0.00,0
482114,500.00,0.00,0
482117,333.33,85.91,0
482119,500.00,-5231.92,0
482122,333.33,-0.00,0
482124,500.00,-0.00,0
482127,333.33,-0.00,0
482129,500.00,-2643.43,0
482132,333.33,0.00,0
482135,333.33,0.00,0
482137,500.00,6844.00,0
482140,333.33,6139.36,0
482142,500.00,-0.00,0
482145,333.33,-0.00,0
482147,500.00,-0.00,0
482149,500.00,5286.87,0
482152,333.33,0.00,0
482154,500.00,0.00,0
482157,333.33,7480.07,0
482159,500.00,5286.87,0
482162,333.33,-0.00,0
482164,500.00,-0.00,0
482167,333.33,-0.00,0
482169,500.00,-6132.70,0
482172,333.33,0.00,0
482174,500.00,0.00,0
482177,333.33,-6352.49,0
482180,333.33,-6132.70,0
482182,500.00,-0.00,0
482185,333.33,-0.00,0
482187,500.00,-0.00,0
482190,333.33,-6132.70,0
482192,500.00,0.00,0
482195,333.33,0.00,0
482197,500.00,7342.53,0
482199,500.00,-10570.40,0
482202,333.33,-0.00,0
482205,333.33,-0.00,0
482207,500.00,-426.25,0
482210,333.33,-12691.23,0
482212,500.00,0.00,0
482215,333.33,0.00,0
482217,500.00,7043.49,0
482220,333.33,-5286.85,0
482223,333.33,-0.00,0
482225,500.00,-0.00,0
482228,333.33,-3753.67,0
482230,500.00,7926.97,0
482233,333.33,0.00,0
482235,500.00,0.00,0
482238,333.33,8408.16,0
482240,500.00,12278.72,0
482243,333.33,-0.00,0
482245,500.00,-0.00,0
482248,333.33,-10570.40,0
482250,500.00,917.76,0
482253,333.33,0.00,0
482255,500.00,0.00,0
482257,500.00,5286.87,0
482260,333.33,12278.72,0
482264,250.00,-0.00,0
482266,500.00,-0.00,0
482268,500.00,6132.75,0
482271,333.33,911.10,0
482273,500.00,0.00,0
482276,333.33,0.00,0
482278,500.00,2643.64,0
482281,333.33,-5231.81,0
482283,500.00,-0.00,0
482286,333.33,-0.00,0
482288,500.00,12265.09,0
482291,333.33,82.58,0
482293,500.00,0.00,0
482295,500.00,0.00,0
482298,333.33,2643.64,0
482300,500.00,12278.90,0
482304,250.00,-0.00,0
482306,500.00,-0.00,0
482309,333.33,6139.36,0
482311,500.00,-6565.61,0
482314,333.33,0.00,0
482316,500.00,0.01,0
482319,500.00,-10570.40,0
482321,333.33,-3516.59,0
482324,333.33,-0.00,0
482326,500.00,-0.00,0
482329,333.33,-12264.98,0
482331,500.00,6.66,0
482334,333.33,0.00,0
482336,500.00,82.50,0
482338,500.00,-12264.98,0
482341,333.33,-0.00,0
482344,500.00,-0.00,0
482347,250.00,-0.00,0
482349,500.00,-10570.40,0
482352,333.33,0.00,0
482354,500.00,0.00,0
482357,333.33,41.30,0
482359,500.00,5286.87,0
482362,333.33,-0.00,0
482364,500.00,-0.00,0
482366,500.00,-0.00,0
482369,333.33,-5286.85,0
482371,500.00,7073.96,0
482374,333.33,0.00,0
482376,500.00,1106.92,0
482379,333.33,2643.64,0
482381,500.00,-0.00,0
482384,333.33,-0.00,0
482386,500.00,-0.00,0
482390,250.00,5286.87,0
482392,500.00,7033.17,0
482395,333.33,0.00,0
482397,500.00,7043.49,0
482400,500.00,6139.36,0
482402,333.33,-0.00,0
482404,500.00,-0.00,0
482407,333.33,-0.00,0
482409,500.00,-2643.43,0
482412,333.33,0.00,0
482414,500.00,0.00,0
482417,500.00,-13130.81,0
482419,333.33,-2616.17,0
482422,333.33,-0.00,0
482424,500.00,-0.00,0
482427,333.33,-0.00,0
482429,500.00,5286.87,0
482433,250.00,0.00,0
482435,500.00,0.00,0
482437,500.00,508.86,0
482440,333.33,-2616.17,0
482442,500.00,-0.00,0
482445,333.33,-0.00,0
482447,500.00,-0.00,0
482450,333.33,6139.36,0
482452,500.00,0.00,0
482454,500.00,0.00,0
482457,333.33,7057.12,0
482459,500.00,12265.09,0
482462,333.33,-0.00,0
482464,500.00,-0.00,0
482467,333.33,-0.00,0
482469,500.00,-5231.92,0
482472,333.33,0.00,0
482475,333.33,0.00,0
482477,500.00,3647.13,0
482480,333.33,10573.73,0
482483,333.33,-0.00,0
482485,500.00,-0.00,0
482487,500.00,-426.25,0
482490,333.33,-10996.66,0
482493,333.33,0.00,0
482495,500.00,0.00,0
482497,500.00,938.63,0
482500,333.33,6132.75,0
482502,500.00,-0.00,0
482505,333.33,-0.00,0
482507,500.00,-3516.60,0
482510,333.33,7074.47,0
482512,500.00,0.00,0
482515,333.33,0.00,0
482518,333.33,85.91,0
482520,500.00,-2616.17,0
482523,333.33,-0.00,0
482525,500.00,-0.00,0
482528,333.33,-12048.52,0
482530,500.00,7081.08,0
482533,333.33,0.00,0
482535,500.00,0.00,0
482538,333.33,948.85,0
482540,500.00,-5286.85,0
482543,333.33,-0.00,0
482545,500.00,-0.00,0
482548,500.00,-10573.71,0
482550,333.33,7057.12,0
482553,333.33,0.00,0
482555,500.00,0.00,0
482557,500.00,5286.85,0
482561,250.00,-10573.71,0
482564,333.33,-0.00,0
482566,500.00,-0.00,0
482568,500.00,-10570.40,0
482571,333.33,7057.12,0
482574,333.33,0.00,0
482576,500.00,0.00,0
482578,500.00,-6132.70,0
482581,333.33,-3729.71,0
482584,333.33,-0.00,0
482586,500.00,-0.00,0
482588,500.00,-5286.85,0
482591,333.33,63.48,0
482593,500.00,0.00,0
482596,333.33,0.86,0
482598,500.00,-6132.70,0
482601,333.33,-5221.60,0
482604,333.33,-0.00,0
482607,333.33,-0.00,0
482609,500.00,-12264.98,0
482612,333.33,3.33,0
482614,500.00,0.00,0
482616,500.00,58.65,0
482619,333.33,-10570.40,0
482622,333.33,-0.00,0
482624,500.00,-0.00,0
482626,500.00,-0.00,0
482629,333.33,-2643.43,0
482631,500.00,53.28,0
482634,333.33,0.00,0
482636,500.00,7043.39,0
482639,333.33,-5231.92,0
482641,500.00,-0.00,0
482644,333.33,-0.00,0
482647,333.33,-0.00,0
482649,500.00,-6132.70,0
482652,333.33,6820.04,0
482655,333.33,0.00,0
482657,500.00,7053.82,0
482660,500.00,6132.75,0
482662,333.33,-0.00,0
482664,500.00,-0.00,0
482667,333.33,-0.00,0
482669,500.00,12278.72,0
482672,333.33,0.00,0
482674,500.00,0.00,0
482677,500.00,58.65,0
482679,333.33,-12264.98,0
482682,333.33,-0.00,0
482684,500.00,-0.00,0
