,-0.00,0
936427,333.33,7043.49,0
936429,500.00,0.00,0
936432,333.33,0.00,0
936434,500.00,7057.15,0
936437,333.33,10573.73,0
936439,500.00,-0.00,0
936442,333.33,-0.00,0
936444,500.00,-5231.92,0
936448,250.00,7074.47,0
936450,500.00,0.00,0
936453,333.33,0.00,0
936455,500.00,-5286.85,0
936458,333.33,-6132.70,0
936460,500.00,-0.00,0
936463,333.33,-0.00,0
936465,500.00,5286.87,0
936468,500.00,-13554.17,0
936470,333.33,0.00,0
936473,333.33,0.00,0
936475,500.00,-6132.70,0
936477,500.00,-2557.52,0
936480,333.33,-0.00,0
936483,500.00,-0.00,0
936485,333.33,-10573.71,0
936488,333.33,935.09,0
936491,333.33,0.00,0
936493,500.00,55.97,0
936496,333.33,12278.72,0
936498,500.00,-10336.63,0
936501,333.33,-0.00,0
936504,333.33,-0.00,0
936506,500.00,10573.73,0
936509,333.33,7039.83,0
936511,500.00,0.00,0
936513,500.00,96.34,0
936516,333.33,12265.09,0
936518,500.00,-0.00,0
936521,333.33,-0.00,0
936523,500.00,-0.00,0
936526,333.33,2643.64,0
936528,500.00,-6566.12,0
936531,333.33,0.00,0
936534,333.33,7981.91,0
936537,333.33,5286.87,0
936539,500.00,-0.00,0
936542,333.33,-0.00,0
936544,500.00,-0.00,0
936546,500.00,10573.73,0
936549,333.33,0.00,0
936551,500.00,0.00,0
936554,333.33,65.26,0
936556,500.00,-10573.71,0
936559,333.33,-0.00,0
936561,500.00,-0.00,0
936564,333.33,-0.00,0
936566,500.00,6132.75,0
936569,333.33,0.00,0
936571,500.00,0.00,0
936573,500.00,7981.91,0
936577,250.00,5286.87,0
936579,500.00,-0.00,0
936582,333.33,-0.00,0
936584,500.00,-0.00,0
936586,500.00,2643.64,0
936589,333.33,7033.17,0
936592,333.33,0.00,0
936594,500.00,7057.15,0
936596,500.00,2643.64,0
936599,333.33,-0.00,0
936601,500.00,-0.00,0
936604,333.33,-426.25,0
936606,500.00,-12264.98,0
936609,333.33,0.00,0
936611,500.00,0.00,0
936614,333.33,65.27,0
936616,500.00,-2643.43,0
936620,250.00,-0.00,0
936622,500.00,-0.00,0
936625,500.00,-8631.62,0
936627,333.33,5286.85,0
936630,333.33,0.00,0
936632,500.00,0.00,0
936634,500.00,7981.91,0
936637,333.33,-5286.85,0
936640,500.00,-0.00,0
936642,333.33,-0.00,0
936644,500.00,-3537.24,0
936647,333.33,82.61,0
936649,500.00,0.00,0
936652,333.33,0.00,0
936654,500.00,935.11,0
936656,500.00,6132.75,0
936659,333.33,-0.00,0
936662,333.33,-0.00,0
936665,333.33,-427.60,0
936667,500.00,4427.74,0
936670,333.33,0.00,0
936672,500.00,0.00,0
936674,500.00,7150.06,0
936677,333.33,-2643.43,0
936680,333.33,-0.00,0
936682,500.00,-0.00,0
936684,500.00,12952.79,0
936687,333.33,948.85,0
936690,333.33,0.00,0
936692,500.00,0.00,0
936694,500.00,5286.85,0
936697,333.33,12278.72,0
936699,500.00,-0.00,0
936702,333.33,-0.00,0
936705,333.33,2643.64,0
936708,333.33,-6558.95,0
936710,500.00,0.00,0
936713,333.33,0.00,0
936715,500.00,10573.73,0
936718,333.33,5286.89,0
936720,500.00,-0.00,0
936723,333.33,-0.00,0
936725,500.00,-10573.71,0
936728,333.33,95.93,0
936730,500.00,0.00,0
936732,500.00,0.00,0
936735,333.33,-5231.92,0
936737,500.00,6393.79,0
936740,333.33,-0.00,0
936742,500.00,-0.00,0
936745,333.33,-5286.85,0
936748,333.33,-10996.66,0
936751,333.33,0.00,0
936753,500.00,7043.39,0
936756,333.33,10573.73,0
936759,333.33,-0.00,0
936761,500.00,-0.00,0
936763,500.00,-0.00,0
936766,333.33,-12264.98,0
936768,500.00,7074.40,0
936771,333.33,0.00,0
936773,500.00,1375.10,0
936776,333.33,12278.72,0
936779,500.00,-0.00,0
936781,333.33,-0.00,0
936783,500.00,-0.00,0
936786,333.33,10573.73,0
936788,500.00,905.79,0
936792,250.00,0.00,0
936794,500.00,7057.12,0
936797,333.33,-5286.85,0
936799,500.00,-0.00,0
936802,333.33,-0.00,0
936804,500.00,-0.00,0
936807,500.00,-12264.98,0
936809,333.33,0.00,0
936812,333.33,0.00,0
936814,500.00,-13557.48,0
936817,333.33,6139.36,0
936819,500.00,-0.00,0
936822,333.33,-0.00,0
936824,500.00,-5221.62,0
936827,333.33,-6559.01,0
936829,500.00,0.00,0
936833,333.33,0.00,0
936835,333.33,-6132.75,0
936837,500.00,12265.09,0
936840,333.33,-0.00,0
936842,500.00,-0.00,0
936845,333.33,6132.75,0
936847,500.00,917.76,0
936850,333.33,0.00,0
936852,500.00,0.00,0
936855,500.00,-6132.75,0
936857,333.33,5286.87,0
936860,333.33,-0.00,0
936862,500.00,-0.00,0
936864,500.00,-10573.71,0
936867,333.33,948.85,0
936870,333.33,0.00,0
936872,500.00,0.00,0
936875,333.33,6132.75,0
936878,333.33,-2643.42,0
936881,500.00,-0.00,0
936883,333.33,-0.00,0
936885,500.00,-6132.70,0
936888,333.33,7043.39,0
936890,500.00,0.00,0
936893,333.33,0.00,0
936895,500.00,-6132.70,0
936898,333.33,13426.95,0
936900,500.00,-0.00,0
936903,333.33,-0.00,0
936905,500.00,-5286.85,0
936908,333.33,96.24,0
936910,500.00,0.00,0
936912,500.00,6.89,0
936915,333.33,-2643.43,0
936918,333.33,13426.95,0
936921,333.33,-0.00,0
936923,500.00,-0.00,0
936926,333.33,-10573.71,0
936929,333.33,7074.46,0
936931,500.00,0.00,0
936933,500.00,911.16,0
936936,333.33,-5231.92,0
936939,333.33,-0.00,0
936941,500.00,-0.00,0
936943,500.00,-0.00,0
936946,333.33,5286.87,0
936948,500.00,56.61,0
936951,333.33,0.00,0
936953,500.00,11.99,0
936955,500.00,2643.64,0
936958,333.33,-0.00,0
936961,333.33,-0.00,0
936964,333.33,-0.00,0
936966,500.00,-10573.71,0
936969,333.33,7039.83,0
936971,500.00,0.00,0
936974,333.33,917.76,0
936976,500.00,12278.72,0
936979,333.33,-0.00,0
936981,500.00,-0.00,0
936984,333.33,-0.00,0
936986,500.00,6132.75,0
936989,333.33,53.28,0
936991,500.00,0.00,0
936993,500.00,58.65,0
936996,333.33,-10570.40,0
936998,500.00,-0.00,0
937001,333.33,-0.00,0
937004,333.33,-0.00,0
937007,333.33,-10573.71,0
937009,500.00,0.00,0
937012,333.33,0.00,0
937014,500.00,7043.49,0
937016,500.00,-6132.70,0
937019,333.33,-0.00,0
937022,500.00,-0.00,0
937024,333.33,-0.00,0
937026,500.00,5286.87,0
937029,333.33,0.00,0
937031,500.00,0.00,0
937033,500.00,911.16,0
937036,333.33,-12264.98,0
937039,333.33,-0.00,0
937041,500.00,-0.00,0
937043,500.00,-0.00,0
937047,250.00,-6132.70,0
937049,500.00,0.00,0
937052,333.33,0.00,0
937054,500.00,6830.37,0
937057,333.33,-10573.71,0
937059,500.00,-0.00,0
937062,333.33,-0.00,0
937064,500.00,9697.24,0
937067,333.33,10573.70,0
937069,500.00,0.00,0
937072,333.33,0.00,0
937074,500.00,7266.94,0
937077,500.00,12265.09,0
937079,333.33,-0.00,0
937082,333.33,-0.00,0
937084,500.00,9676.81,0
937086,500.00,-12704.97,0
937090,250.00,0.00,0
937093,500.00,0.00,0
937095,333.33,-6132.70,0
937097,500.00,12265.09,0
937100,333.33,-0.00,0
937103,500.00,-0.00,0
937105,333.33,-2616.17,0
937108,500.00,7043.49,0
937110,333.33,0.00,0
937112,500.00,0.00,0
937115,333.33,-2616.17,0
937117,500.00,-5285.08,0
937120,333.33,-0.00,0
937122,500.00,-0.00,0
937125,333.33,12278.72,0
937127,500.00,63.61,0
937131,250.00,0.00,0
937133,500.00,0.00,0
937135,500.00,12278.72,0
937138,333.33,2664.08,0
937141,333.33,-0.00,0
937143,500.00,-0.00,0
937145,500.00,-2616.17,0
937148,333.33,938.42,0
937150,500.00,0.00,0
937153,333.33,0.44,0
937155,500.00,-5286.85,0
937158,333.33,11082.57,0
937160,500.00,-0.00,0
937163,333.33,-0.00,0
937165,500.00,-6132.70,0
937168,333.33,7043.39,0
937170,500.00,0.00,0
937174,250.00,7074.47,0
937176,500.00,2643.64,0
937179,333.33,-0.00,0
937181,500.00,-0.00,0
937184,333.33,-0.00,0
937186,500.00,-6132.70,0
937189,333.33,7073.96,0
937191,500.00,0.00,0
937193,500.00,96.34,0
937196,333.33,-6132.70,0
937199,500.00,-0.00,0
937201,333.33,-0.00,0
937203,500.00,-0.00,0
937206,333.33,6139.36,0
937208,500.00,7039.83,0
937211,333.33,0.00,0
937213,500.00,7926.97,0
937217,250.00,-2616.17,0
937219,500.00,-0.00,0
937222,333.33,-0.00,0
937224,500.00,-0.00,0
937226,500.00,-5231.92,0
937229,333.33,0.00,0
937231,500.00,0.00,0
937234,333.33,6830.37,0
937236,500.00,6132.75,0
937239,333.33,-0.00,0
937241,500.00,-0.00,0
937244,333.33,-0.00,0
937246,500.00,-5286.85,0
937249,333.33,0.00,0
